Time_point,Replicate,TMT_label,MS_sample_number,Temperature,Sample
0,1,126,S2283,40,nodrug
1,1,127N,S2283,40,nodrug
2,1,127C,S2283,40,nodrug
4,1,128N,S2283,40,nodrug
7,1,128C,S2283,40,nodrug
12,1,129N,S2283,40,nodrug
24,1,129C,S2283,40,nodrug
48,1,130N,S2283,40,nodrug
0,1,130C,S2283,42.1,nodrug
1,1,131N,S2283,42.1,nodrug
2,1,131C,S2283,42.1,nodrug
4,1,132N,S2283,42.1,nodrug
7,1,132C,S2283,42.1,nodrug
12,1,133N,S2283,42.1,nodrug
24,1,133C,S2283,42.1,nodrug
48,1,134N,S2283,42.1,nodrug
0,1,126,S2285,43.8,nodrug
1,1,127N,S2285,43.8,nodrug
2,1,127C,S2285,43.8,nodrug
4,1,128N,S2285,43.8,nodrug
7,1,128C,S2285,43.8,nodrug
12,1,129N,S2285,43.8,nodrug
24,1,129C,S2285,43.8,nodrug
48,1,130N,S2285,43.8,nodrug
0,1,130C,S2285,46.5,nodrug
1,1,131N,S2285,46.5,nodrug
2,1,131C,S2285,46.5,nodrug
4,1,132N,S2285,46.5,nodrug
7,1,132C,S2285,46.5,nodrug
12,1,133N,S2285,46.5,nodrug
24,1,133C,S2285,46.5,nodrug
48,1,134N,S2285,46.5,nodrug
0,1,126,S2286,50,nodrug
1,1,127N,S2286,50,nodrug
2,1,127C,S2286,50,nodrug
4,1,128N,S2286,50,nodrug
7,1,128C,S2286,50,nodrug
12,1,129N,S2286,50,nodrug
24,1,129C,S2286,50,nodrug
48,1,130N,S2286,50,nodrug
0,1,130C,S2286,54,nodrug
1,1,131N,S2286,54,nodrug
2,1,131C,S2286,54,nodrug
4,1,132N,S2286,54,nodrug
7,1,132C,S2286,54,nodrug
12,1,133N,S2286,54,nodrug
24,1,133C,S2286,54,nodrug
48,1,134N,S2286,54,nodrug
0,1,126,S2287,57.3,nodrug
1,1,127N,S2287,57.3,nodrug
2,1,127C,S2287,57.3,nodrug
4,1,128N,S2287,57.3,nodrug
7,1,128C,S2287,57.3,nodrug
12,1,129N,S2287,57.3,nodrug
24,1,129C,S2287,57.3,nodrug
48,1,130N,S2287,57.3,nodrug
0,1,130C,S2287,60.1,nodrug
1,1,131N,S2287,60.1,nodrug
2,1,131C,S2287,60.1,nodrug
4,1,132N,S2287,60.1,nodrug
7,1,132C,S2287,60.1,nodrug
12,1,133N,S2287,60.1,nodrug
24,1,133C,S2287,60.1,nodrug
48,1,134N,S2287,60.1,nodrug
0,1,126,S2288,62,nodrug
1,1,127N,S2288,62,nodrug
2,1,127C,S2288,62,nodrug
4,1,128N,S2288,62,nodrug
7,1,128C,S2288,62,nodrug
12,1,129N,S2288,62,nodrug
24,1,129C,S2288,62,nodrug
48,1,130N,S2288,62,nodrug
0,1,130C,S2288,64,nodrug
1,1,131N,S2288,64,nodrug
2,1,131C,S2288,64,nodrug
4,1,132N,S2288,64,nodrug
7,1,132C,S2288,64,nodrug
12,1,133N,S2288,64,nodrug
24,1,133C,S2288,64,nodrug
48,1,134N,S2288,64,nodrug
0,2,126,S2289,40,nodrug
1,2,127N,S2289,40,nodrug
2,2,127C,S2289,40,nodrug
